same_srv_rate,src_bytes,dst_host_diff_srv_rate,protocol_type,class
1.0,491,0.03,1,11
0.08,146,0.6,2,11
0.05,0,0.05,1,9
1.0,232,0.0,1,11
1.0,199,0.0,1,11
0.16,0,0.07,1,9
0.05,0,0.05,1,9
0.14,0,0.07,1,9
0.09,0,0.05,1,9
0.06,0,0.06,1,9
0.06,0,0.07,1,9
0.02,0,0.07,1,9
1.0,287,0.0,1,11
1.0,334,0.0,1,21
0.0,0,0.07,1,9
0.17,0,0.06,1,9
1.0,300,0.0,1,11
1.0,18,0.0,0,5
1.0,233,0.0,1,11
1.0,343,0.0,1,11
0.1,0,0.05,1,9
0.06,0,0.06,1,9
1.0,253,0.0,1,11
1.0,147,0.85,2,11
0.01,0,0.06,1,9
1.0,437,0.05,1,11
0.03,0,0.07,1,9
1.0,227,0.0,1,11
1.0,215,0.0,1,11
1.0,241,0.0,1,11
1.0,8,0.0,0,5
0.28,0,0.04,1,9
1.0,303,0.0,1,11
0.5,0,0.31,1,15
1.0,45,0.01,2,11
1.0,105,0.05,2,11
1.0,43,0.0,2,11
0.08,0,0.07,1,9
1.0,324,0.0,1,11
0.06,0,0.07,1,9
0.22,0,0.02,1,9
0.05,0,0.07,1,9
1.0,1591,0.02,1,11
0.5,146,0.66,2,11
1.0,290,0.0,1,11
0.1,0,0.07,1,9
1.0,28,0.02,2,20
1.0,255,0.0,1,11
1.0,334,0.0,1,21
0.07,0,0.07,1,9
1.0,302,0.0,1,11
0.07,0,0.08,1,9
1.0,28,0.02,2,20
1.0,220,0.0,1,11
1.0,43,0.01,2,11
1.0,44,0.02,2,11
1.0,8,0.0,0,10
0.07,0,0.07,1,9
0.5,0,0.04,1,9
1.0,43,0.0,2,11
1.0,641,0.02,1,11
0.02,0,0.08,1,9
0.01,0,0.84,1,17
1.0,310,0.0,1,11
0.16,0,0.07,1,9
1.0,696,0.04,1,11
1.0,0,0.58,1,15
0.37,0,0.02,1,9
0.06,0,0.07,1,9
0.12,0,0.06,1,9
1.0,221,0.0,1,11
0.11,0,0.05,1,9
0.67,181,0.01,0,11
1.0,42,0.02,2,11
0.04,0,0.07,1,9
1.0,12,0.07,1,11
0.03,0,0.06,1,9
1.0,210,0.0,1,11
1.0,321,0.0,1,11
0.03,0,0.07,1,9
1.0,329,0.0,1,11
0.05,0,0.07,1,9
0.09,0,0.07,1,9
1.0,8,0.0,0,5
1.0,320,0.0,1,11
0.03,0,0.11,1,9
1.0,225,0.0,1,11
0.05,0,0.07,1,9
0.11,0,0.06,1,9
0.67,146,0.54,2,11
1.0,247,0.0,1,11
1.0,353,0.0,1,11
0.99,44,0.01,2,11
0.12,0,0.08,1,9
0.02,0,0.07,1,9
1.0,3065,0.02,1,11
1.0,102,0.29,2,11
1.0,259,0.0,1,11
1.0,147,0.42,2,11
0.12,0,0.05,1,9
1.0,0,0.0,1,11
1.0,309,0.0,1,11
1.0,0,0.0,1,11
1.0,278,0.0,1,11
1.0,28,0.29,2,20
1.0,313,0.0,1,11
1.0,219,0.0,1,11
1.0,245,0.0,1,11
1.0,328,0.0,1,11
1.0,0,0.0,1,11
1.0,251,0.01,1,11
0.5,2089,0.03,1,11
1.0,0,0.0,1,11
1.0,237,0.0,1,11
1.0,324,0.0,1,11
1.0,1,0.69,1,15
0.15,0,0.07,1,9
0.25,105,0.01,2,11
1.0,218,0.0,1,11
1.0,325,0.0,1,11
0.08,0,0.07,1,9
0.07,0,0.08,1,9
0.03,0,0.08,1,9
1.0,328,0.01,1,11
0.02,0,0.07,1,9
1.0,9,0.03,1,11
1.0,46,0.01,2,11
1.0,1079,0.03,1,11
1.0,45,0.01,2,11
1.0,273,0.02,1,11
0.11,0,0.08,1,9
0.04,0,0.07,1,9
1.0,237,0.0,1,11
1.0,225,0.0,1,11
0.06,0,0.08,1,9
0.08,0,0.07,1,9
0.33,147,0.61,2,11
1.0,262,0.0,1,11
1.0,1032,0.0,0,18
0.12,0,0.06,1,9
1.0,261,0.0,1,11
0.06,0,0.09,1,9
0.01,0,0.07,1,9
1.0,294,0.0,1,11
1.0,221,0.0,1,11
1.0,284,0.0,1,11
1.0,0,1.0,1,10
1.0,309,0.0,1,11
1.0,334,0.0,1,21
0.31,0,0.02,1,9
0.01,0,0.06,1,9
1.0,214,0.0,1,11
0.04,0,0.08,1,9
0.06,0,0.08,1,9
0.1,0,0.05,1,9
1.0,46,0.01,2,11
1.0,748,0.33,1,11
0.19,0,0.06,1,9
1.0,8,0.0,0,5
0.01,0,0.08,1,9
1.0,329,0.0,1,11
1.0,9,0.38,1,11
1.0,46,0.01,2,11
1.0,1766,0.02,1,11
0.02,0,0.07,1,9
1.0,1,0.74,1,15
1.0,8,0.03,1,11
1.0,266,0.0,1,11
0.67,245,0.06,1,11
1.0,295,0.0,1,11
0.27,0,0.08,1,9
1.0,228,0.0,1,11
1.0,1032,0.02,0,18
0.06,0,0.07,1,9
0.16,0,0.05,1,9
0.01,0,0.05,1,9
1.0,0,0.0,1,11
0.0,0,0.91,1,17
0.27,1,0.06,2,17
0.03,0,0.07,1,9
1.0,30,0.0,0,11
1.0,2078,0.03,1,11
1.0,19,0.04,1,11
1.0,661,0.02,1,11
0.97,28,0.02,2,20
0.07,0,0.03,1,9
